team,opponent,result
Hawaii,Santa Clara,W
Santa Clara,Hawaii,L
Oklahoma St.,Florida St.,W
Florida St.,Oklahoma St.,L
Florida St.,Northern Colo.,W
Northern Colo.,Florida St.,L
Arizona,Michigan St.,W
Michigan St.,Arizona,L
Arizona,Michigan St.,W
Michigan St.,Arizona,L
San Diego St.,CSUN,W
CSUN,San Diego St.,L
Oklahoma,San Diego St.,W
San Diego St.,Oklahoma,L
Fla. Atlantic,Ole Miss,W
Ole Miss,Fla. Atlantic,L
Fla. Atlantic,Kansas,W
Kansas,Fla. Atlantic,L
Illinois St.,Delaware,W
Delaware,Illinois St.,L
Texas A&M,Purdue,W
Purdue,Texas A&M,L
Grand Canyon,NIU,W
NIU,Grand Canyon,L
Nebraska,Tennessee,W
Tennessee,Nebraska,L
Ohio,N.C. Central,W
N.C. Central,Ohio,L
UNC Greensboro,N.C. Central,W
N.C. Central,UNC Greensboro,L
Grand Canyon,NIU,W
NIU,Grand Canyon,L
Ohio,Elon,W
Elon,Ohio,L
Oklahoma,CSUN,W
CSUN,Oklahoma,L
Georgia,NC State,W
NC State,Georgia,L
Tarleton St.,McNeese,W
McNeese,Tarleton St.,L
FIU,Indiana,W
Indiana,FIU,L
Louisiana Tech,Northern Colo.,W
Northern Colo.,Louisiana Tech,L
South Carolina St.,Furman,W
Furman,South Carolina St.,L
New Mexico,A&M-Corpus Christi,W
A&M-Corpus Christi,New Mexico,L
NC State,CSU Bakersfield,W
CSU Bakersfield,NC State,L
Georgia,UCF,W
UCF,Georgia,L
Seton Hall,Louisiana,W
Louisiana,Seton Hall,L
South Carolina,Virginia,W
Virginia,South Carolina,L
Boston College,FGCU,W
FGCU,Boston College,L
Sam Houston,New Mexico,W
New Mexico,Sam Houston,L
BYU,UC San Diego,W
UC San Diego,BYU,L
South Alabama,UAB,W
UAB,South Alabama,L
Florida,North Florida,W
North Florida,Florida,L
Ole Miss,Clemson,W
Clemson,Ole Miss,L
Clemson,Kansas,W
Kansas,Clemson,L
Texas Tech,Marshall,W
Marshall,Texas Tech,L
UCF,CSU Bakersfield,W
CSU Bakersfield,UCF,L
Long Beach St.,Pacific,W
Pacific,Long Beach St.,L
Baylor,Abilene Christian,W
Abilene Christian,Baylor,L
South Fla.,Delaware,W
Delaware,South Fla.,L
LMU (CA),Southern U.,W
Southern U.,LMU (CA),L
South Fla.,Illinois St.,W
Illinois St.,South Fla.,L
Arkansas,Texas St.,W
Texas St.,Arkansas,L
Arizona St.,Maryland,W
Maryland,Arizona St.,L
Southern Ind.,Saint Louis,W
Saint Louis,Southern Ind.,L
Villanova,Utah St.,W
Utah St.,Villanova,L
Texas A&M,Utah St.,W
Utah St.,Texas A&M,L
UCF,NC State,W
NC State,UCF,L
FGCU,Boston College,W
Boston College,FGCU,L
FGCU,Indiana St.,W
Indiana St.,FGCU,L
Cal St. Fullerton,San Diego St.,W
San Diego St.,Cal St. Fullerton,L
Oklahoma,Cal St. Fullerton,W
Cal St. Fullerton,Oklahoma,L
UConn,Elon,W
Elon,UConn,L
New Mexico,Houston Christian,W
Houston Christian,New Mexico,L
Houston,New Mexico,W
New Mexico,Houston,L
Fla. Atlantic,Clemson,W
Clemson,Fla. Atlantic,L
FIU,Iowa St.,W
Iowa St.,FIU,L
Hawaii,Saint Louis,W
Saint Louis,Hawaii,L
Nicholls,Alabama St.,W
Alabama St.,Nicholls,L
North Ala.,Alabama St.,W
Alabama St.,North Ala.,L
Jacksonville St.,North Florida,W
North Florida,Jacksonville St.,L
Auburn,Southern Ill.,W
Southern Ill.,Auburn,L
UNI,North Dakota,W
North Dakota,UNI,L
Omaha,UNI,W
UNI,Omaha,L
Lamar University,ULM,W
ULM,Lamar University,L
UTSA,Weber St.,W
Weber St.,UTSA,L
UTEP,Kansas City,W
Kansas City,UTEP,L
App State,Southern Ill.,W
Southern Ill.,App State,L
North Carolina,App State,W
App State,North Carolina,L
Tennessee,Bethune-Cookman,W
Bethune-Cookman,Tennessee,L
Nebraska,Bethune-Cookman,W
Bethune-Cookman,Nebraska,L
Kentucky,Pittsburgh,W
Pittsburgh,Kentucky,L
Kentucky,Notre Dame,W
Notre Dame,Kentucky,L
Virginia,East Carolina,W
East Carolina,Virginia,L
East Carolina,Providence,W
Providence,East Carolina,L
Ohio,UConn,W
UConn,Ohio,L
Evansville,Stonehill,W
Stonehill,Evansville,L
Stonehill,Tennessee Tech,W
Tennessee Tech,Stonehill,L
Saint Louis,Santa Clara,W
Santa Clara,Saint Louis,L
Colorado St.,UC Santa Barbara,W
UC Santa Barbara,Colorado St.,L
Liberty,Radford,W
Radford,Liberty,L
Liberty,Louisville,W
Louisville,Liberty,L
UC Riverside,Utah Tech,W
Utah Tech,UC Riverside,L
Stony Brook,Iowa St.,W
Iowa St.,Stony Brook,L
UAB,UIC,W
UIC,UAB,L
NC State,James Madison,W
James Madison,NC State,L
CSU Bakersfield,James Madison,W
James Madison,CSU Bakersfield,L
Illinois,CSU Bakersfield,W
CSU Bakersfield,Illinois,L
Arkansas,Lipscomb,W
Lipscomb,Arkansas,L
Arkansas,Bradley,W
Bradley,Arkansas,L
Lipscomb,Bradley,W
Bradley,Lipscomb,L
Long Beach St.,Seattle U,W
Seattle U,Long Beach St.,L
Utah,Minnesota,W
Minnesota,Utah,L
Tennessee St.,North Texas,W
North Texas,Tennessee St.,L
Weber St.,UMass Lowell,W
UMass Lowell,Weber St.,L
Utah St.,Abilene Christian,W
Abilene Christian,Utah St.,L
SFA,Texas Southern,W
Texas Southern,SFA,L
Murray St.,Northwestern St.,W
Northwestern St.,Murray St.,L
North Texas,Central Mich.,W
Central Mich.,North Texas,L
Idaho St.,Utah Valley,W
Utah Valley,Idaho St.,L
South Dakota St.,SFA,W
SFA,South Dakota St.,L
Jacksonville,Western Caro.,W
Western Caro.,Jacksonville,L
Siena,Georgetown,W
Georgetown,Siena,L
Northwestern,Kennesaw St.,W
Kennesaw St.,Northwestern,L
SIUE,UMass Lowell,W
UMass Lowell,SIUE,L
Wichita St.,NIU,W
NIU,Wichita St.,L
Villanova,Abilene Christian,W
Abilene Christian,Villanova,L
George Mason,Seton Hall,W
Seton Hall,George Mason,L
Coastal Carolina,Creighton,W
Creighton,Coastal Carolina,L
Dayton,Wofford,W
Wofford,Dayton,L
Army West Point,LMU (CA),W
LMU (CA),Army West Point,L
Troy,Central Mich.,W
Central Mich.,Troy,L
UC Davis,Utah Valley,W
Utah Valley,UC Davis,L
Syracuse,UNCW,W
UNCW,Syracuse,L
Iowa,Kennesaw St.,W
Kennesaw St.,Iowa,L
Mississippi St.,Texas Tech,W
Texas Tech,Mississippi St.,L
UT Martin,South Carolina St.,W
South Carolina St.,UT Martin,L
South Dakota St.,East Texas A&M,W
East Texas A&M,South Dakota St.,L
North Florida,Western Caro.,W
Western Caro.,North Florida,L
Siena,Charleston So.,W
Charleston So.,Siena,L
Wofford,Towson,W
Towson,Wofford,L
Lehigh,LMU (CA),W
LMU (CA),Lehigh,L
Texas St.,San Diego,W
San Diego,Texas St.,L
UNCW,Le Moyne,W
Le Moyne,UNCW,L
UTSA,SIUE,W
SIUE,UTSA,L
Purdue Fort Wayne,Coastal Carolina,W
Coastal Carolina,Purdue Fort Wayne,L
Auburn,North Carolina,W
North Carolina,Auburn,L
Furman,UT Martin,W
UT Martin,Furman,L
Arizona St.,Miami (OH),W
Miami (OH),Arizona St.,L
East Texas A&M,South Dakota,W
South Dakota,East Texas A&M,L
Santa Clara,Southern Ind.,W
Southern Ind.,Santa Clara,L
Wichita St.,Grand Canyon,W
Grand Canyon,Wichita St.,L
Duke,Mississippi St.,W
Mississippi St.,Duke,L
Lamar University,ULM,W
ULM,Lamar University,L
Duke,Penn St.,W
Penn St.,Duke,L
Texas Tech,Penn St.,W
Penn St.,Texas Tech,L
Louisville,Middle Tenn.,W
Middle Tenn.,Louisville,L
UCLA,IU Indy,W
IU Indy,UCLA,L
Fordham,Col. of Charleston,W
Col. of Charleston,Fordham,L
North Dakota St.,Col. of Charleston,W
Col. of Charleston,North Dakota St.,L
Nebraska,Southern Miss.,W
Southern Miss.,Nebraska,L
Dayton,Youngstown St.,W
Youngstown St.,Dayton,L
Towson,Youngstown St.,W
Youngstown St.,Towson,L
Ohio St.,N.C. Central,W
N.C. Central,Ohio St.,L
Ohio St.,UNC Greensboro,W
UNC Greensboro,Ohio St.,L
Montana,Colgate,W
Colgate,Montana,L
Grand Canyon,Colgate,W
Colgate,Grand Canyon,L
Syracuse,Le Moyne,W
Le Moyne,Syracuse,L
Florida St.,Louisiana Tech,W
Louisiana Tech,Florida St.,L
Purdue,Villanova,W
Villanova,Purdue,L
Ole Miss,Missouri St.,W
Missouri St.,Ole Miss,L
Kansas,Missouri St.,W
Missouri St.,Kansas,L
Fla. Atlantic,Georgia St.,W
Georgia St.,Fla. Atlantic,L
Butler,St. Thomas (MN),W
St. Thomas (MN),Butler,L
NIU,Montana,W
Montana,NIU,L
Chattanooga,Binghamton,W
Binghamton,Chattanooga,L
Stetson,Binghamton,W
Binghamton,Stetson,L
Washington,Arizona,W
Arizona,Washington,L
Arizona,Western Mich.,W
Western Mich.,Arizona,L
San Diego St.,Southern U.,W
Southern U.,San Diego St.,L
Ga. Southern,Illinois St.,W
Illinois St.,Ga. Southern,L
Delaware,Ga. Southern,W
Ga. Southern,Delaware,L
Loyola Chicago,North Dakota,W
North Dakota,Loyola Chicago,L
Delaware,Michigan,W
Michigan,Delaware,L
Texas A&M,Baylor,W
Baylor,Texas A&M,L
Jacksonville,Jacksonville St.,W
Jacksonville St.,Jacksonville,L
Belmont,Western Ky.,W
Western Ky.,Belmont,L
Eastern Ky.,Western Ky.,W
Western Ky.,Eastern Ky.,L
St. John's (NY),Houston Christian,W
Houston Christian,St. John's (NY),L
Georgetown,Bellarmine,W
Bellarmine,Georgetown,L
Lindenwood,Hampton,W
Hampton,Lindenwood,L
Akron,Monmouth,W
Monmouth,Akron,L
Bowling Green,Monmouth,W
Monmouth,Bowling Green,L
Georgia Tech,Belmont,W
Belmont,Georgia Tech,L
Sacramento St.,Saint Mary's (CA),W
Saint Mary's (CA),Sacramento St.,L
Creighton,Purdue Fort Wayne,W
Purdue Fort Wayne,Creighton,L
Cleveland St.,Radford,W
Radford,Cleveland St.,L
Butler,Green Bay,W
Green Bay,Butler,L
Stetson,FDU,W
FDU,Stetson,L
Charlotte,Southeastern La.,W
Southeastern La.,Charlotte,L
Ball St.,Oregon St.,W
Oregon St.,Ball St.,L
Oregon St.,Cal Poly,W
Cal Poly,Oregon St.,L
Oregon,Buffalo,W
Buffalo,Oregon,L
Oregon,Southern Utah,W
Southern Utah,Oregon,L
George Washington,Morehead St.,W
Morehead St.,George Washington,L
Northern Ky.,George Washington,W
George Washington,Northern Ky.,L
George Washington,Morehead St.,W
Morehead St.,George Washington,L
Chattanooga,FDU,W
FDU,Chattanooga,L
Maryland,California,W
California,Maryland,L
Maryland,Miami (OH),W
Miami (OH),Maryland,L
Longwood,George Mason,W
George Mason,Longwood,L
Texas,Longwood,W
Longwood,Texas,L
Central Ark.,Southeastern La.,W
Southeastern La.,Central Ark.,L
Virginia Tech,Fordham,W
Fordham,Virginia Tech,L
Virginia Tech,North Dakota St.,W
North Dakota St.,Virginia Tech,L
Baylor,Purdue,W
Purdue,Baylor,L
Rutgers,Cleveland St.,W
Cleveland St.,Rutgers,L
Middle Tenn.,Rutgers,W
Rutgers,Middle Tenn.,L
Alabama,Washington,W
Washington,Alabama,L
Marist,Ark.-Pine Bluff,W
Ark.-Pine Bluff,Marist,L
