team,WP,OWP,OOWP,RPI
Hawaii,0.6046511627906976,0.5005572552277641,0.4849301744492764,0.5226739619238755
Santa Clara,0.5909090909090909,0.4960607103328647,0.5084341540179469,0.5228661663981917
Oklahoma St.,0.66,0.5916505610669791,0.574180978190988,0.6043705250812366
Florida St.,0.8461538461538461,0.6298147650909891,0.5648732877817274,0.6676641660293879
Northern Colo.,0.375,0.4781477581299963,0.4970511086821155,0.457086656235527
Arizona,0.7872340425531915,0.5774855346591814,0.5632208014008964,0.6263564783181126
Michigan St.,0.36363636363636365,0.5746386623137254,0.527367212370531,0.5100702251585864
San Diego St.,0.673469387755102,0.5753761773626417,0.5309937674377775,0.5888038774795407
CSUN,0.5106382978723404,0.476594282037231,0.4941948447117261,0.48950542666463215
Oklahoma,0.851063829787234,0.6077322681572355,0.5884579518523623,0.6637465794885168
Fla. Atlantic,0.8301886792452831,0.509498591369793,0.5275650129829729,0.5941877187419605
Ole Miss,0.7083333333333334,0.6015406698287648,0.5787924834578522,0.6225517891121788
Kansas,0.4375,0.5846413305244768,0.558760514916499,0.5413857939913631
Illinois St.,0.4423076923076923,0.5423697624152601,0.49690625206597533,0.505988367301047
Delaware,0.7254901960784313,0.4380252623911281,0.48446867687898504,0.5215023494349181
Texas A&M,0.8269230769230769,0.6422480963247287,0.5871372422684691,0.6746391279602508
Purdue,0.56,0.5790116128707243,0.543043192180011,0.5652666044803649
Grand Canyon,0.8809523809523809,0.47162003568946115,0.5159336132002623,0.5850315163828914
NIU,0.425531914893617,0.5025272648123711,0.4903637307456593,0.4802375438160046
Nebraska,0.7446808510638298,0.5831243906987592,0.5527833289237893,0.6159282403462844
Tennessee,0.7450980392156863,0.65495844402843,0.5655442763081041,0.6551398008951625
Ohio,0.6862745098039216,0.47489783619165415,0.48950330020157,0.5313933705971999
N.C. Central,0.30952380952380953,0.45666675920579614,0.44084456446870407,0.41592547310102645
UNC Greensboro,0.6923076923076923,0.5168816987300999,0.49913933555539586,0.556302606330822
Elon,0.6428571428571429,0.500702917248393,0.482609386015247,0.5317180908422939
Georgia,0.5777777777777777,0.6019453464318306,0.5906034212551604,0.5930679729741498
NC State,0.4528301886792453,0.5853616227952666,0.5528281661779256,0.544095400111926
Tarleton St.,0.6078431372549019,0.49867753016165645,0.4971982933814549,0.5255991227399174
McNeese,0.6981132075471698,0.4640661883196108,0.5019594915597175,0.5320512689365272
FIU,0.56,0.521106139966204,0.5122233281331375,0.5286089020163864
Indiana,0.6530612244897959,0.5684378919997074,0.5351970124933116,0.5812835052456307
Louisiana Tech,0.5625,0.5282364304284203,0.5275424427869689,0.5366288259109524
South Carolina St.,0.4117647058823529,0.4115880500169057,0.4194485761176968,0.4135973455084653
Furman,0.2916666666666667,0.5204217030057913,0.4978341799115973,0.45758606314746164
New Mexico,0.4375,0.48533943954564135,0.5132739253174904,0.4803632011021933
A&M-Corpus Christi,0.24444444444444444,0.4290799190638342,0.4821348696884167,0.39618478806513235
CSU Bakersfield,0.30612244897959184,0.45058177621508344,0.49401792214059126,0.42532598088758755
UCF,0.5833333333333334,0.6019324327180339,0.5585378187858409,0.5864340043888104
Seton Hall,0.56,0.492648698339765,0.49407212789650706,0.5098423811440093
Louisiana,0.5116279069767442,0.5706144363824882,0.5411719788078364,0.5485071896373892
South Carolina,0.6744186046511628,0.6681561023116346,0.5852435812867889,0.6489935976403052
Virginia,0.7058823529411765,0.5932506467749953,0.5609695817481475,0.6133383070598286
Boston College,0.4583333333333333,0.5551292042300756,0.5400937406665005,0.5271713706149963
FGCU,0.5217391304347826,0.5088866702403599,0.517100463134278,0.5141532335124451
Sam Houston,0.5,0.5217897135561541,0.525169416382143,0.5171872108736129
BYU,0.6595744680851063,0.5291580999633908,0.5422180157086933,0.5650271709301453
UC San Diego,0.36585365853658536,0.46798292532075453,0.4884491995122103,0.44756717717257616
South Alabama,0.37777777777777777,0.5384208660693464,0.5337959801659417,0.49710387252060306
UAB,0.3958333333333333,0.5305883710660914,0.5284552870806717,0.49636634063654694
Florida,0.75,0.6808144709540902,0.5785461519585747,0.6725437734666888
North Florida,0.7636363636363637,0.513925386823016,0.5124496520668111,0.5759841973373017
Clemson,0.7647058823529411,0.5946402183094167,0.5716865743574941,0.6314182233323171
Texas Tech,0.7777777777777778,0.5564386851048904,0.5609076893006448,0.6128907093220508
Marshall,0.5833333333333334,0.5239179418730786,0.5340090590652821,0.5412945690361932
Long Beach St.,0.6190476190476191,0.47344566994609943,0.49633446508283635,0.5155683560056635
Pacific,0.32,0.4929809325263872,0.5062510985819904,0.4530532409086912
Baylor,0.4791666666666667,0.5797057176467161,0.5620455182969312,0.5501559050642575
Abilene Christian,0.27450980392156865,0.5538932224357032,0.5241347760359113,0.4766077562072215
South Fla.,0.7446808510638298,0.5390144155291486,0.5276236395197778,0.5875833304104762
LMU (CA),0.4375,0.5624325274242845,0.5215359813651989,0.520975259053442
Southern U.,0.5,0.3786661239533492,0.4464224058963597,0.42593866345076453
Arkansas,0.7708333333333334,0.6423414088009499,0.5852981600769204,0.6602035777530384
Texas St.,0.6136363636363636,0.5618962411290598,0.5286593018411272,0.5665220369339026
Arizona St.,0.6744186046511628,0.5536894652394772,0.5544440257609451,0.5840603902227656
