team,WP,OWP,OOWP,RPI,win_prob_vs_GT
Hawaii,0.6046511627906976,0.5003398228208817,0.48544040708581804,0.5226928038795697,0.7754298877938511
Santa Clara,0.5909090909090909,0.4975274969401605,0.5077279151319137,0.5234229999803315,0.7724884798457593
Oklahoma St.,0.66,0.5920974076996669,0.5737589652064594,0.6044884451514483,0.3443012104079863
Florida St.,0.8461538461538461,0.6300997625917198,0.5648243949197475,0.6677944415642583,0.10891626053302131
Northern Colo.,0.3902439024390244,0.4724476773083975,0.4973539115204346,0.4581232921440635,0.9385433823945063
Arizona,0.7872340425531915,0.5774933571187604,0.5627054564163405,0.6262315533017632,0.2414331690084107
Michigan St.,0.36363636363636365,0.5717342978521915,0.527467491501497,0.508643112710561,0.8267455579590574
San Diego St.,0.673469387755102,0.5750864992799377,0.5309700344300955,0.5886531051862682,0.4305610485919688
CSUN,0.5106382978723404,0.47625263127499634,0.4941277660422946,0.48931783161615694,0.8816049087033335
Oklahoma,0.851063829787234,0.6064021036560688,0.5883519737952793,0.6630550027236628,0.11996839805963777
Fla. Atlantic,0.8301886792452831,0.5097761517624011,0.5271813342302639,0.5942305792500873,0.399394528425684
Ole Miss,0.7142857142857143,0.5971582267339632,0.5799836627741325,0.6221464576319433,0.2590762308267679
Kansas,0.4375,0.584742400484573,0.5584370640392732,0.5413554662521048,0.6920042100308776
Illinois St.,0.4423076923076923,0.5429740451325247,0.49679586993701125,0.5062629131274382,0.834455838030462
Delaware,0.7254901960784313,0.43730450774219837,0.4848390473638905,0.5212345647316796,0.7812228479269115
Texas A&M,0.8269230769230769,0.6421393718621705,0.58711894727144,0.6745801919797145,0.09465248356540798
Purdue,0.56,0.579827017523037,0.5429649709510553,0.5656547514992823,0.5621750747116687
Grand Canyon,0.8809523809523809,0.4712356951332748,0.515811403568268,0.5848087936967996,0.45238375723905927
NIU,0.425531914893617,0.5024973959881642,0.4904198672572791,0.4802366435318061,0.9017497127193478
Nebraska,0.7446808510638298,0.5814780094801271,0.553408128955732,0.615261249744954,0.29064827548361133
Tennessee,0.7450980392156863,0.6536770816333318,0.5651417484353751,0.6543984877294312,0.14265566547479638
Ohio,0.6862745098039216,0.47516666836220356,0.4895774933892792,0.531546334979402,0.7379555641886458
N.C. Central,0.30952380952380953,0.45635347767989004,0.4408868960082565,0.41577941522296147,0.9758965442067185
UNC Greensboro,0.6923076923076923,0.5174352244544935,0.499101742580905,0.5565699709493961,0.6128193960446965
Elon,0.6428571428571429,0.500817973841855,0.4827278200501957,0.5318052276477622,0.7368011655831296
Georgia,0.5869565217391305,0.6004880003303886,0.5908540679146398,0.5946966475786369,0.3968230441396455
